gene	name	chrom	start	end	downloaded
BRCA1	NM_007294	17	41196311	41277500	TRUE
BRCA2	NM_000059	13	32889616	32973809	TRUE
TP53	NM_000546	17	7571719	7590868	TRUE
STK11	NM_000455	19	1205797	1228434	TRUE
MLH1	NM_000249	3	37034840	37092337	TRUE
MSH2	NM_001258281	2	47630205	47710367	TRUE
MSH6	NM_001281493	2	48010220	48034092	TRUE
PMS2	NM_000535	7	6010555	6048737	TRUE
APC	NM_001127511	5	112043201	112181936	TRUE
MUTYH	NM_001048171	1	45794913	45806142	TRUE
BMPR1A	NM_004329	10	88516395	88684945	TRUE
SMAD4	NM_005359	18	48556582	48611411	TRUE
VHL	NM_000551	3	10183318	10195354	TRUE
MEN1	NM_130803	11	64570985	64578766	TRUE
RET	NM_020975	10	43572516	43625797	TRUE
PTEN	NM_001304718	10	89623194	89731687	TRUE
RB1	NM_000321	13	48877882	49056026	TRUE
SDHD	NM_001276504	11	111957547	111966525	TRUE
SDHAF2	NM_017841	11	61197596	61214239	TRUE
SDHC	NM_001278172	1	161284165	161334535	TRUE
SDHB	NM_003000	1	17345224	17380665	TRUE
TSC1	NM_001162426	9	135766734	135820020	TRUE
TSC2	NM_001318829	16	2097895	2138721	TRUE
WT1	NM_000378	11	32409321	32457081	TRUE
NF2	NM_181830	22	29999544	30094589	TRUE
COL3A1	NM_000090	2	189839098	189877472	TRUE
FBN1	NM_000138	15	48700502	48937985	TRUE
TGFBR1	NM_004612	9	101867370	101916473	TRUE
TGFBR2	NM_003242	3	30647993	30735633	TRUE
SMAD3	NM_005902	15	67358194	67487533	TRUE
ACTA2	NM_001141945	10	90694830	90751154	TRUE
MYH11	NM_001040113	16	15796991	15950887	TRUE
MYBPC3	NM_000256	11	47352956	47374253	TRUE
MYH7	NM_000257	14	23881946	23904895	TRUE
TNNT2	NM_000364	1	201328135	201346828	TRUE
TNNI3	NM_000363	19	55663135	55669100	TRUE
TPM1	NM_001018020	15	63334837	63364113	TRUE
MYL3	NM_000258	3	46899356	46904973	TRUE
ACTC1	NM_005159	15	35080296	35087927	TRUE
PRKAG2	NM_016203	7	151253200	151574316	TRUE
GLA	NM_000169	X	100652778	100663001	TRUE
MYL2	NM_000432	12	111348623	111358404	TRUE
LMNA	NM_001282625	1	156052336	156107657	TRUE
RYR2	NM_001035	1	237205701	237997288	TRUE
PKP2	NM_004572	12	32943679	33049780	TRUE
DSP	NM_001319034	6	7541807	7586950	TRUE
DSC2	NM_004949	18	28645939	28682395	TRUE
TMEM43	NM_024334	3	14166439	14185180	TRUE
DSG2	NM_001943	18	29077966	29128970	TRUE
KCNQ1	NM_000218	11	2466220	2870340	TRUE
KCNH2	NM_000238	7	150642043	150675402	TRUE
SCN5A	NM_001160161	3	38589552	38691164	TRUE
LDLR	NM_001195803	19	11200037	11244505	TRUE
APOB	NM_000384	2	21224300	21266945	TRUE
PCSK9	NM_174936	1	55505148	55530526	TRUE
ATP7B	NM_001243182	13	52506805	52585630	TRUE
OTC	NM_000531	X	38211735	38280703	TRUE
RYR1	NM_000540	19	38924339	39078204	TRUE
CACNA1S	NM_000069	1	201008639	201081694	TRUE
